cities,longitude,latitude
Sirsa,75°01′E,29°32′N
Sonipat,77°01′19″E,28°59′24″N
Dharmshala,76°19′07″E,32°12′55″N
Kullu,77°07′E,31°57′N
Nahan,77°18′E,30°33′N
Shimla,77°10′20″E,31°6′12″N
Anantnag,75°09′E,33°44′N
Baramula,74°21′50″E,34°11′53″N
Gulmarg,74°23′E,34°03′N
Jammu,74°52′E,32°44′N
Kathua,75°31′01″E,32°23′06″N
Rajouri,74°19′E,33°23′N
Srinagar,74°47′24″E,34°5′24″N
Udhampur,75°08′31″E,32°54′58″N
Chaibasa,85°49′E,22°34′N
Deoghar,86°42′E,24°29′N
Dhanbad,86°25′50″E,23°47′59″N
Dumka,87°20′E,24°25′N
Giridih,86°18′E,24°11′N
Hazaribag,85°21′E,23°59′N
Jamshedpur,86°11′03″E,22°47′33″N
Jharia,86°25′13″E,23°45′06″N
Rajmahal,87°50′E,25°03′N
Ranchi,85°20′E,23°22′N
Saraikela,85°55′32″E,22°43′00″N
Badami,75°40′49″E,15°55′12″N
Ballari,76°55′E,15°06′N
Bengaluru,77°35′30″E,12°58′44″N
Belagavi,74°30′E,15°51′N
Bidar,77°31′12″E,17°54′43″N
Chikkamagaluru,75°44′13″E,13°18′47″N
Chitradurga,76°24′E,14°14′N
Davangere,75°55′27″E,14°28′00″N
Halebid,75°59′29″E,13°12′57″N
Hubballi-Dharwad,75°03′45″E,15°24′35″N
Kalaburagi,76°49′30″E,17°19′44″N
Kolar,78°08′00″E,13°08′00″N
Madikeri,75°44′23″E,12°25′15″N
Mandya,76°54′E,12°31′N
Mangaluru,74°49′31″E,12°54′07″N
Mysuru,76°39′11″E,12°18′31″N
Raichur,77°22′E,16°12′N
Shivamogga,75°34′E,13°56′N
Shravanabelagola,76°29′20″E,12°51′32″N
Shrirangapattana,76°42′14″E,12°24′50″N
Tumakuru,77°06′E,13°20′N
Vijayapura,77°48′E,13°17′N
Alappuzha,76°20′E,9°29′N
Vatakara,75°36′2″E,11°34′2″N
Idukki,76°56′E,9°51′N
Kannur,75°21′20″E,11°52′08″N
Kochi,76°17′E,9°58′N
Kollam,76°36′E,8°53′N
Kottayam,76°29′08″E,9°35′41″N
Kozhikode,75°46′E,11°15′N
Mattancheri,76°15′15″E,9°57′45″N
Palakkad,76°39′04″E,10°46′30″N
Thalassery,75°29′13.28″E,11°45′2.24″N
Thiruvananthapuram,76°57′09″E,08°29′15″N
Thrissur,76°13′E,10°31′N
Kargil,76°07′32″E,34°33′34″N
Leh,77°35′05″E,34°09′51″N
Balaghat,80°11′E,21°48′N
Barwani,74°54′E,22°02′N
Bharhut,80°50′46″E,24°26′49″N
Bhind,78°47′14″E,26°33′31″N
Bhopal,77°25′E,23°15′N
Burhanpur,76°14′E,21°18′N
Chhatarpur,79°21′10″E,24°33′00″N
Chhindwara,78°56′E,22°04′N
Damoh,79°27′E,23°50′N
Datia,78°28′E,25°40′N
Dewas,76°04′E,22°58′N
Dhar,75°18′14″E,22°35′53″N
Gwalior,78°10′41″E,26°13′17″N
Hoshangabad,77°43′E,22°45′N
Indore,75°50′50″E,22°43′0″N
Itarsi,77°45′E,22°37′N
Jabalpur,79°56′E,23°10′N
Jhabua,74°36′E,22°46′N
Khajuraho,79°55′30″E,24°51′00″N
Khandwa,76°21′E,21°49′N
Khargone,75°37′07″E,21°49′12″N
Maheshwar,75°21′E,22°07′N
Mandla,80°23′E,22°36′N
Mandsaur,75°04′08″E,24°04′19″N
Morena,78°00′E,26°30′N
Murwara,80°24′E,23°29′N
Narsimhapur,79°11′42″E,22°56′53″N
Narwar,77°58′E,25°19′N
Neemuch,74°52′12″E,24°28′35″N
Orchha,78°38′E,25°21′N
Raisen,77°48′E,23°20′N
Ratlam,75°02′13″E,23°20′02″N
Satna,80°49′56″E,24°36′02″N
Sehore,77°05′E,23°12′N
Seoni,79°32′E,22°05′N
Shahdol,81°21′E,23°17′N
Shajapur,76°16′E,23°26′N
Sheopur,76°42′E,25°40′N
Shivpuri,77°39′E,25°26′N
Ujjain,75°47′E,23°10′N
Vidisha,77°49′E,23°32′N
Ahmadnagar,74°44′E,19°05′N
Akola,77°00′E,20°42′N
Amravati,77°45′53″E,20°55′33″N
Aurangabad,75°19′E,19°53′N
Bhandara,79°39′E,21°10′N
Bhusawal,75°46′E,21°03′N
Buldhana,76°10′58″E,20°31′58″N
Chandrapur,79°17′49″E,19°57′00″N
Dhule,74°46′11″E,20°53′59″N
Jalgaon,75°34′05″E,21°00′14″N
Kalyan,73°08′E,19°14′N
Kolhapur,74°14′00″E,16°41′30″N
Mahabaleshwar,73°39′27″E,17°55′30″N
Malegaon,74°33′E,20°33′N
Matheran,73°16′04″E,18°59′12″N
Mumbai,72°52′39″E,19°04′34″N
Nagpur,79°04′50″E,21°08′59″N
Nanded,77°18′E,19°09′N
Nashik,73°47′E,20°00′N
Osmanabad,76°04′25″E,18°19′10″N
Pandharpur,75°19′40″E,17°40′40″N
Parbhani,76°46′59″E,19°15′33″N
Pune,73°51′24″E,18°31′13″N
Ratnagiri,73°18′00″E,16°59′40″N
Sangli,74°34′59″E,16°51′11″N
Sevagram,78°39′45″E,20°44′10″N
Solapur,75°55′12″E,17°40′48″N
Thane,72°58′20″E,19°11′50″N
Ulhasnagar,73°09′E,19°13′N
Vasai-Virar,72°48′E,19°28′N
Wardha,78°36′20″E,20°44′30″N
Yavatmal,78°04′E,20°14′N
Imphal,93°56′18″E,24°48′27″N
Cherrapunji,91°43′16″E,25°17′02″N
Shillong,91°53′40″E,25°34′56″N
Aizawl,92°43′04″E,23°43′38″N
Lunglei,92°44′E,22°53′N
Kohima,94°06′E,25°40′N
Phek,94°30′00″E,25°40′00″N
Wokha,94°16′E,26°06′N
Zunheboto,94°31′00″E,25°58′00″N
Balangir,83°29′E,20°43′N
Baleshwar,86°56′E,21°29′N
Baripada,86°43′E,21°56′N
Bhubaneshwar,85°50′E,20°16′N
Cuttack,85°47′17″E,20°31′25″N
Dhenkanal,85°36′E,20°40′N
Kendujhar,85°35′E,21°38′N
Konark,86°06′01″E,19°53′27″N
Koraput,82°44′05″E,18°51′22″N
Paradip,86°36′36″E,20°18′58″N
Phulabani,84°14′E,20°28′N
Puri,85°49′53″E,19°48′38″N
Sambalpur,83°58′E,21°28′N
Karaikal,79°49′55″E,10°55′58″N
Yanam,82°13′00″E,16°44′00″N
Amritsar,74°52′E,31°38′N
Batala,75°12′10″E,31°49′07″N
Chandigarh,76°47′E,30°45′N
Firozpur,74°36′00″E,30°55′00″N
Gurdaspur,75°24′00″E,32°02′00″N
Hoshiarpur,75°55′E,31°32′N
Jalandhar,75°26′36″E,31°15′25″N
Kapurthala,75°23′E,31°23′N
Ludhiana,75°51′E,30°55′N
Nabha,76°09′E,30°22′N
Patiala,76°23′E,30°20′N
Rupnagar,76°31′59″E,30°57′59″N
Sangrur,75°50′39″E,30°15′02″N
Ajmer,74°38′24″E,26°27′00″N
Alwar,76°38′08″E,27°32′59″N
Beawar,74°19′E,26°06′N
Bhilwara,74°38′E,25°21′N
Bikaner,73°18′43″E,28°01′00″N
Bundi,75°38′E,25°26′N
Chittaurgarh,74°38′E,24°53′N
Dhaulpur,77°54′E,26°42′N
Dungarpur,73°43′E,23°50′N
Ganganagar,73°53′E,29°55′N
Hanumangarh,74°19′E,29°35′N
Jaipur,75°48′E,26°54′N
Jaisalmer,70°54′54″E,26°54′47″N
Jalor,72°37′E,25°21′N
Jhalawar,76°10′E,24°35′N
Jhunjhunu,75°24′E,28°08′N
Jodhpur,73°01′E,26°17′N
Kishangarh,74°52′E,26°34′N
Nagaur,73°44′E,27°12′N
Nathdwara,73°49′E,24°56′N
Phalodi,72°21′50″E,27°07′52″N
Pushkar,74°33′21″E,26°29′16″N
Sawai Madhopur,76°22′E,25°59′N
Sikar,75°09′E,27°37′N
Sirohi,72°51′45″E,24°53′06″N
Udaipur,73°41′E,24°35′N
Gangtok,88°37′E,27°20′N
Gyalshing,88°16′E,27°17′N
Lachung,88°44′46″E,27°41′24″N
Arcot,79°19′26″E,12°54′17″N
Chengalpattu,79°59′19.7″E,12°40′54.8″N
Chennai,80°16′30″E,13°4′57″N
Chidambaram,79°41′28″E,11°24′25″N
Coimbatore,76°57′20.9″E,11°01′00.5″N
Cuddalore,79°45′E,11°45′N
Dharmapuri,78°09′30″E,12°07′16″N
Dindigul,77°57′E,10°21′N
Erode,77°43′01.6″E,11°20′27.2″N
Kanchipuram,79°41′41″E,12°49′07″N
Kanniyakumari,77°32′19″E,8°05′18″N
Kodaikanal,77°29′E,10°14′N
Kumbakonam,79°23′04″E,10°57′37″N
Madurai,78°07′11″E,9°55′31″N
Mamallapuram,80°11′58″E,12°36′59″N
Nagappattinam,79°50′42″E,10°46′02″N
Nagercoil,77°24′43″E,8°11′00″N
Palayamkottai,77°44′00″E,8°43′00″N
Pudukkottai,78°48′00″E,10°23′00″N
Rajapalayam,77°33′15.5″E,09°27′05.4″N
Ramanathapuram,78°50′22″E,9°21′50″N
Thanjavur,79°08′16.1″E,10°47′13.2″N
Tiruchchirappalli,78°42′17″E,10°47′25″N
Tirunelveli,77°45′24″E,8°42′49″N
Tiruppur,77°20′28″E,11°06′31″N
Thoothukudi,78°08′05″E,8°45′51″N
Udhagamandalam,76°42′E,11°25′N
Vellore,79°07′57″E,12°54′59″N
Hyderabad,78°29′12.1″E,17°23′06.0″N
Karimnagar,79°07′43.7″E,18°26′19.0″N
Khammam,80°09′05″E,17°14′50″N
Mahbubnagar,78°00′13″E,16°44′56″N
Sangareddi,78°05′30″E,17°37′46″N
Warangal,79°35′39″E,17°58′08″N
Agartala,91°17′E,23°50′N
Agra,78°01′E,27°11′N
Aligarh,78°05′E,27°53′N
Amroha,78°28′3.10″E,28°54′15.95″N
Ayodhya,82°12′E,26°48′N
Azamgarh,83°11′02″E,26°04′05″N
Bahraich,81°35′38″E,27°34′30″N
Ballia,84°08′49″E,25°45′37″N
Bara Banki,81°12′E,26°55′N
Bareilly,79°24′54″E,28°21′50″N
Bijnor,78°08′E,29°22′N
Bithur,80°16′19″E,26°36′46″N
Budaun,79°07′E,28°03′N
Bulandshahr,77°50′59″E,28°24′25″N
Etah,78°40′E,27°38′N
Etawah,79°02′E,26°46′N
Faizabad,82°08′46″E,26°46′23″N
Farrukhabad-cum-Fatehgarh,79°38′E,27°22′N
Fatehpur Sikri,77°39′40″E,27°05′28″N
Ghaziabad,77°25′E,28°40′N
Ghazipur,83°34′E,25°35′N
Gorakhpur,83°24′14″E,26°45′49″N
Hardoi,80°07′E,27°25′N
Hathras,78°03′E,27°36′N
Jalaun,79°21′E,26°09′N
Jhansi,78°34′11″E,25°26′55″N
Kannauj,79°55′E,27°04′N
Kanpur,80°19′55″E,26°27′00″N
Lucknow,80°57′E,26°51′N
Mainpuri,79°01′E,27°14′N
Mathura,77°40′25″E,27°29′33″N
